#{"t_start": 1639959926.4372768, "env_id": null}
r,l,t
23.903385,1001,1271.992303
22.677551,1001,1284.041036
22.85741,1001,1296.227439
6.866091,292,1300.179867
19.440081,787,1311.404841
4.207388,243,1314.641184
14.323709,619,1322.213927
7.792822,344,1327.094872
4.237801,193,1329.896379
1.420607,97,1331.550951
24.672561,1001,1343.355377
13.14617,535,1349.803129
10.265916,512,1357.606256
20.232191,1001,1369.469522
2.735294,228,1372.531377
22.728673,1001,1384.014616
9.561063,496,1390.097347
0.718136,88,1391.804778
6.156895,313,1396.102283
5.953203,309,1400.163419
15.837668,683,1410.230491
22.042759,916,1420.958793
23.045427,1001,1432.593672
23.758543,1001,1444.425024
15.441216,576,1451.481149
17.315519,719,1461.958124
5.392178,199,1464.725721
24.697486,1001,1476.418445
24.955285,1001,1488.429353
21.603891,845,1498.681891
24.712856,1001,1511.994282
25.710374,1001,1523.921378
22.44232,1001,1536.344148
11.743253,450,1542.026948
21.59767,1001,1553.994935
22.886891,917,1566.253144
21.436763,1001,1578.090525
28.358474,1001,1590.557178
26.791459,1001,1602.423436
16.309483,633,1611.798389
24.769918,1001,1624.024654
1.892052,110,1625.817859
17.1309,661,1633.677835
9.573943,471,1639.656858
26.325447,1001,1651.379501
6.470398,260,1655.071626
22.684798,1001,1668.521649
17.971029,754,1677.796838
19.053177,671,1686.140518
13.342682,579,1693.306351
7.883695,304,1697.323605
16.184696,652,1705.327196
8.36849,368,1710.076492
26.846045,1001,1723.933425
25.637986,1001,1735.713914
29.682316,1001,1747.650983
4.939954,184,1750.277957
12.823965,443,1755.860025
16.949112,681,1764.08702
24.479725,1001,1777.248812
31.060783,1001,1789.04426
8.623172,374,1793.756655
26.833331,1001,1805.805426
26.983705,1001,1819.136801
18.815796,662,1827.04864
20.074657,679,1835.388294
21.687498,893,1846.158484
29.88147,1001,1858.491495
26.95862,1001,1871.712132
29.651546,1001,1883.601328
26.542378,1001,1895.521481
16.843338,672,1903.856149
28.938607,1001,1915.699469
29.380788,1001,1929.454712
31.387284,1001,1941.089552
6.388005,241,1944.361799
26.376148,1001,1956.368683
30.83342,1001,1969.862623
31.509736,1001,1981.526387
16.320782,558,1988.771019
11.995616,370,1993.506341
23.35333,751,2002.669859
30.478857,1001,2014.125188
30.384132,1001,2027.514374
31.92453,1001,2039.316803
15.79108,524,2046.070737
15.551634,578,2053.69634
22.446648,734,2062.382105
34.756515,1001,2075.800213
11.426665,355,2080.482687
11.671772,402,2085.638897
9.429755,337,2090.067051
8.143964,274,2093.689361
29.437529,1001,2105.528692
8.291966,265,2109.137041
16.617429,572,2116.586114
4.998535,216,2119.619001
32.435325,1001,2133.030128
13.41623,421,2138.436666
30.249535,1001,2150.297939
32.216463,979,2161.806154
15.82329,600,2168.908157
7.111469,263,2172.496559
36.163558,1001,2186.389397
29.269986,1001,2198.399301
32.794307,1001,2210.1648
30.905947,1001,2222.009117
30.860616,1001,2235.243721
30.271373,925,2246.408852
19.219467,578,2253.523818
36.053855,1001,2265.245523
29.016091,1001,2278.397283
7.987588,276,2282.124314
34.315794,1001,2294.052408
31.893586,1001,2305.933628
35.083414,1001,2318.20979
29.728216,950,2331.004565
28.842492,882,2341.815646
9.670363,314,2346.029375
39.683193,1001,2358.075154
33.346203,1001,2369.918473
34.310122,1001,2383.771417
33.740078,1001,2395.892994
35.450621,1001,2407.808159
29.021543,806,2417.392484
34.018585,1001,2430.864447
34.897429,1001,2442.888285
35.794881,1001,2455.010857
12.602401,411,2460.179034
33.154019,926,2471.124793
33.083633,1001,2484.470057
36.249784,1001,2496.345291
10.291906,361,2501.025771
35.972379,1001,2513.178266
20.537449,621,2520.641302
35.825692,1001,2534.173106
36.27887,1001,2546.045349
23.867329,652,2554.128726
18.149582,530,2560.813844
36.20357,989,2572.638215
9.369752,276,2576.611586
30.936972,904,2588.79001
36.029608,1001,2600.504674
20.70177,618,2608.14424
34.382662,1001,2620.145138
34.6814,1001,2633.317902
37.910849,1001,2645.498358
33.088076,1001,2657.517172
38.262118,1001,2669.413351
9.849478,253,2672.71452
44.701992,1001,2686.336083
37.920703,1001,2698.257195
42.889034,1001,2710.457562
10.774084,377,2715.372414
39.003637,1001,2727.338406
39.823751,1001,2740.784439
37.713044,1001,2752.719513
35.640049,1001,2764.598737
8.326198,252,2767.917859
15.552302,400,2773.211699
12.741536,411,2778.645164
10.658299,289,2782.427048
5.265239,199,2786.715577
39.979956,1001,2798.464151
36.516741,1001,2810.535895
40.782537,1001,2822.331309
40.519681,1001,2834.121769
10.167673,279,2839.459558
40.385285,1001,2851.608023
40.123044,1001,2863.490211
9.899598,325,2867.799685
20.320035,553,2874.524695
33.362119,883,2885.105392
29.545449,794,2896.028175
41.48628,1001,2908.5427
24.436107,616,2916.073555
37.962537,1001,2927.909895
39.755494,1001,2941.028803
40.153797,1001,2952.761419
26.362151,649,2960.467804
41.796181,1001,2972.813817
38.929642,1001,2984.853576
43.722953,1001,2998.326535
43.862484,1001,3010.217728
25.071878,634,3018.339004
36.910634,1001,3030.996147
42.324577,1001,3046.642296
44.788667,1001,3059.474969
32.631059,762,3069.251817
44.44837,1001,3082.121392
42.504743,1001,3095.058819
43.555259,1000,3110.194299
0.465332,37,3111.25945
13.828121,378,3116.406173
41.916267,1001,3129.412382
36.499354,1001,3142.47544
42.762361,1001,3156.876918
14.550607,420,3162.370223
23.37849,1001,3174.899708
12.2611,276,3178.673613
15.351164,435,3184.200828
14.404879,380,3189.274257
43.847819,1001,3201.419769
44.639418,960,3214.477839
45.448315,1001,3226.465773
43.867228,1001,3238.746922
43.345811,1001,3251.054001
44.696289,1001,3264.60276
42.497366,1001,3276.794149
44.579614,1001,3288.70429
26.599705,589,3296.07258
19.111197,463,3302.40963
36.091803,763,3313.307479
16.770654,403,3318.522534
19.161318,518,3325.158778
48.492571,1001,3337.325233
42.492481,978,3349.589127
31.647671,731,3358.725688
39.03717,828,3370.744538
38.487401,873,3381.427961
48.112778,1001,3393.464764
33.586461,722,3402.486631
5.809559,177,3405.061744
22.178358,532,3411.644137
43.747459,1001,3425.372414
46.087495,1001,3437.739333
46.19074,952,3449.379198
48.978233,1001,3461.639403
48.036032,1001,3475.359738
45.670286,989,3487.169149
20.75797,502,3493.493233
48.753298,1001,3505.724515
43.699334,1001,3519.566489
43.174005,1001,3531.631217
5.029192,168,3534.094628
41.987224,831,3544.085902
46.253332,1001,3556.206481
50.291909,1001,3570.261883
10.041154,268,3573.804407
31.225223,714,3582.672686
45.983686,1001,3594.685552
17.062729,380,3599.536576
52.532854,1001,3611.331027
1.143327,53,3612.440061
47.049997,1001,3625.381443
49.804516,1001,3637.264657
17.194392,408,3642.416875
52.562737,1001,3654.359929
49.247446,1001,3666.393739
22.611387,540,3674.65165
47.272761,1001,3686.804143
48.668142,1001,3699.270796
39.260413,1001,3711.119103
50.193779,1001,3724.548181
44.572777,1001,3736.996882
47.546389,1001,3748.83721
51.32843,1001,3761.300872
19.02338,423,3766.653565
41.093436,816,3778.115892
44.537107,1001,3790.28534
9.96318,268,3793.827864
47.429395,1001,3805.956421
50.290904,1001,3818.130856
17.914201,364,3822.953955
29.540482,618,3832.534328
37.175681,858,3842.964428
51.194401,1001,3854.748907
46.303008,941,3866.055661
50.48707,1001,3879.71612
52.082611,1001,3891.945408
47.796722,1001,3903.918381
54.459437,1001,3916.037963
50.081853,1001,3929.458065
53.347852,1001,3941.518804
49.468148,1001,3953.418972
55.07597,1001,3965.85371
28.6766,551,3972.917815
21.275789,436,3978.523828
49.601606,1001,3992.350833
54.342963,1001,4004.361704
51.708411,982,4016.221979
47.318836,1001,4028.430323
36.098258,699,4038.690877
12.406019,279,4042.441844
40.476128,770,4051.993294
52.298699,1001,4064.235547
50.609884,1001,4076.48179
14.547859,328,4080.770318
50.638825,1001,4094.731972
11.80237,272,4098.47097
51.17921,1001,4110.477854
35.142546,682,4118.856441
50.688984,1001,4130.718711
52.384531,1001,4144.266471
54.620306,1001,4156.825876
17.715949,373,4161.831486
54.283039,1001,4173.835377
48.792756,1001,4186.082618
52.963,1001,4199.253386
54.708483,1001,4211.315122
34.630788,705,4220.173438
20.654118,448,4225.973911
55.47351,1001,4239.885698
55.464209,1001,4252.068115
52.666996,1001,4264.346272
27.924778,546,4270.975539
45.587273,858,4281.160295
54.474547,1001,4295.075075
31.598355,641,4304.212633
50.458215,1001,4316.510736
53.551871,1001,4328.633309
41.3673,858,4339.133224
38.724785,711,4349.501489
15.176262,365,4354.452246
55.409476,1001,4366.449155
42.595587,851,4376.559112
16.050912,341,4380.929422
49.914341,1001,4392.926332
